ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1000000,Mike Schmid,M,33.0,193.0,96.0,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,Gold
1000001,Andreas Matt,M,35.0,192.0,100.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,Silver
1000002,Audun Grønvold,M,41.0,186.0,88.0,NOR,NOR,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,Bronze
1000003,Chris Del Bosco,M,35.0,185.0,96.0,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000004,Enak Gavaggio,M,41.0,173.0,80.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000005,Davey Barr,M,40.0,178.0,84.0,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000006,Scott Kneller,M,28.0,181.0,90.0,AUS,AUS,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000007,Filip Flisar,M,30.0,181.0,95.0,SLO,SLO,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000008,Errol Kerr,M,31.0,175.0,95.0,JAM,JAM,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000009,Stanley Hayer,M,44.0,193.0,100.0,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000010,Tomáš Kraus,M,43.0,183.0,86.0,CZE,CZE,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000011,Sylvain Miaillier,M,31.0,178.0,78.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000012,Tommy Eliasson,M,37.0,179.0,90.0,SWE,SWE,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000013,Richard Spalinger,M,42.0,178.0,90.0,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000014,Markus Wittner,M,44.0,174.0,84.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000015,Erik Iljans,M,48.0,176.0,93.0,SWE,SWE,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000016,Xavier Kuhn,M,39.0,178.0,84.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000017,Thomas Zangerl,M,34.0,181.0,81.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000018,Simon-Raphael Stickl,M,30.0,180.0,83.0,GER,GER,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000019,Conradign Netzer,M,37.0,182.0,88.0,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000020,Ted Piccard,M,39.0,173.0,77.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000021,Anders Rekdal,M,31.0,183.0,NA,NOR,NOR,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000022,Casey Puckett,M,45.0,178.0,93.0,USA,USA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000023,Lars Lewén,M,42.0,174.0,90.0,SWE,SWE,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000024,Yegor Korotkov,M,31.0,180.0,77.0,RUS,RUS,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000025,Juha Haukkala,M,39.0,189.0,108.0,FIN,FIN,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000026,Michael Forslund,M,31.0,183.0,88.0,SWE,SWE,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000027,Daron Rahlves,M,44.0,175.0,84.0,USA,USA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000028,Hiroomi Takizawa,M,44.0,177.0,86.0,JPN,JPN,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000029,Patrick Koller,M,34.0,192.0,98.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000030,Martin Fiala,M,50.0,190.0,99.0,GER,GER,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000031,Beni Hofer,M,39.0,176.0,83.0,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000032,Zdeněk Šafář,M,39.0,175.0,80.0,CZE,CZE,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,Alpine Skiing ski cross,NA
1000130,Aksel Lund Svindal,M,35.0,189.0,100.0,NOR,NOR,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",Gold
1000131,Kjetil Jansrud,M,32.0,185.0,83.0,NOR,NOR,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",Silver
1000132,Beat Feuz,M,30.0,172.0,85.0,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",Bronze
1000133,Dominik Paris,M,28.0,184.0,100.0,ITA,ITA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000134,Thomas Dreßen,M,24.0,188.0,90.0,GER,GER,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000135,Peter Fill,M,35.0,175.0,82.0,ITA,ITA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000136,Vincent Kriechmayr,M,26.0,186.0,93.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000137,Brice Roger,M,27.0,181.0,90.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000138,Matthias Mayer,M,27.0,179.0,87.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000139,Andreas Sander,M,28.0,178.0,91.0,GER,GER,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000140,Max Franz,M,28.0,182.0,90.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000141,Hannes Reichelt,M,37.0,184.0,82.0,AUT,AUT,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000142,Mauro Caviezel,M,29.0,181.0,87.0,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000143,Manuel Osborne-Paradis,M,33.0,183.0,94.0,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000144,Aleksander Aamodt Kilde,M,25.0,181.0,90.0,NOR,NOR,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000145,Bryce Bennett,M,25.0,201.0,100.0,USA,USA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000146,Christof Innerhofer,M,33.0,186.0,90.0,ITA,ITA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000147,Johan Clarey,M,37.0,191.0,98.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000148,Martin Čater,M,25.0,176.0,87.0,SLO,SLO,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000149,Jared Goldberg,M,26.0,183.0,84.0,USA,USA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000150,Marc Gisin,M,29.0,198.0,105.0,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000151,Emanuele Buzzi,M,23.0,180.0,83.0,ITA,ITA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000152,Ryan Cochran-Siegle,M,25.0,185.0,91.0,USA,USA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000153,Maxence Muzaton,M,27.0,179.0,81.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000154,Josef Ferstl,M,29.0,180.0,90.0,GER,GER,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000155,Adrien Théaux,M,33.0,182.0,82.0,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000156,Boštjan Kline,M,26.0,186.0,99.0,SLO,SLO,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000157,Ben Thomsen,M,30.0,174.0,80.0,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
1000158,Miha Hrobat,M,22.0,174.0,84.0,SLO,SLO,2018 Winter,2018,Winter,PyeongChang,Alpine Skiing,"Alpine Skiing Downhill, Men",NA
