ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1500000,Lorenzo Patta,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500001,Lamont Marcell Jacobs,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500002,Eseosa Desalu,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500003,Filippo Tortu,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500004,Davide Manenti,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500005,Hillary Polanco,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500006,Aaron Brown,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500007,Jerome Blake,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500008,Brendon Rodney,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500009,Andre De Grasse,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500010,Bolade Ajomale,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500011,Bismark Boateng,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500012,Gavin Smellie,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
1500013,Tang Xingqiang,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Athletics,"Athletics 4 × 100 metres Relay, Men",NA
