ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1700000,Kiran Badloe,M,NA,NA,NA,NED,NED,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",Gold
1700001,Thomas Goyard,M,NA,NA,NA,FRA,FRA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",Silver
1700002,Bi Kun,M,NA,NA,NA,CHN,CHN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",Bronze
1700003,Yoav Cohen,M,NA,NA,NA,ISR,ISR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700004,Mattia Camboni,M,NA,NA,NA,ITA,ITA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700005,Piotr Myszka,M,NA,NA,NA,POL,POL,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700006,Tom Squires,M,NA,NA,NA,GBR,GBR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700007,Mateo Sanz Lanz,M,NA,NA,NA,SUI,SUI,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700008,Pedro Pascual,M,NA,NA,NA,USA,USA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700009,Ángel Granda,M,NA,NA,NA,ESP,ESP,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700010,Vyron Kokkalanis,M,NA,NA,NA,GRE,GRE,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700011,Andreas Kariolou,M,NA,NA,NA,CYP,CYP,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700012,Michael Cheng,M,NA,NA,NA,HKG,HKG,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700013,Endre Funnemark,M,NA,NA,NA,NOR,NOR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700014,Juozas Bernotas,M,NA,NA,NA,LTU,LTU,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700015,Makoto Tomizawa,M,NA,NA,NA,JPN,JPN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700016,Cho Won-U,M,NA,NA,NA,KOR,KOR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700017,Mikita Tsirkun,M,NA,NA,NA,BLR,BLR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700018,Aleksandr Askerov,M,NA,NA,NA,ROC,ROC,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700019,Onur Biriz,M,NA,NA,NA,TUR,TUR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700020,Francisco Saubidet,M,NA,NA,NA,ARG,ARG,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700021,Karel Lavický,M,NA,NA,NA,CZE,CZE,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700022,Ignacio Berenguer,M,NA,NA,NA,MEX,MEX,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700023,Natthaphong Phonoppharat,M,NA,NA,NA,THA,THA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700024,Hamza Bouras,M,NA,NA,NA,ALG,ALG,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Men",NA
1700025,Matt Wearn,M,NA,NA,NA,AUS,AUS,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",Gold
1700026,Tonči Stipanović,M,NA,NA,NA,CRO,CRO,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",Silver
1700027,Hermann Tomasgaard,M,NA,NA,NA,NOR,NOR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",Bronze
1700028,Pavlos Kontides,M,NA,NA,NA,CYP,CYP,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700029,Philipp Buhl,M,NA,NA,NA,GER,GER,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700030,Jean-Baptiste Bernaz,M,NA,NA,NA,FRA,FRA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700031,Ha Ji-Min,M,NA,NA,NA,KOR,KOR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700032,Robert Scheidt,M,NA,NA,NA,BRA,BRA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700033,Kaarle Tapper,M,NA,NA,NA,FIN,FIN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700034,Sam Meech,M,NA,NA,NA,NZL,NZL,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700035,Sergey Komissarov,M,NA,NA,NA,ROC,ROC,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700036,Elliot Hanson,M,NA,NA,NA,GBR,GBR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700037,Charlie Buckingham,M,NA,NA,NA,USA,USA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700038,Jesper Stålheim,M,NA,NA,NA,SWE,SWE,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700039,Karl-Martin Rammo,M,NA,NA,NA,EST,EST,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700040,Joel Rodríguez,M,NA,NA,NA,ESP,ESP,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700041,Milivoj Dukić,M,NA,NA,NA,MNE,MNE,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700042,Benjamin Vadnai,M,NA,NA,NA,HUN,HUN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700043,Juan Ignacio Maegli,M,NA,NA,NA,GUA,GUA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700044,Vishnu Saravanan,M,NA,NA,NA,IND,IND,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700045,Ryan Lo,M,NA,NA,NA,SGP,SGP,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700046,Clemente Seguel,M,NA,NA,NA,CHI,CHI,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700047,Enrique Arathoon,M,NA,NA,NA,ESA,ESA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700048,Francisco Guaragna,M,NA,NA,NA,ARG,ARG,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700049,Stefano Peschiera,M,NA,NA,NA,PER,PER,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700050,Žan-Luka Zelko,M,NA,NA,NA,SLO,SLO,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700051,Wannes Van Laer,M,NA,NA,NA,BEL,BEL,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700052,Khairulnizam Mohd Afendy,M,NA,NA,NA,MAS,MAS,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700053,Andrew Lewis,M,NA,NA,NA,TTO,TTO,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700054,Kenji Nanri,M,NA,NA,NA,JPN,JPN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700055,Luc Chevrier,M,NA,NA,NA,LCA,LCA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700056,Eroni Leilua,M,NA,NA,NA,SAM,SAM,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700057,Rodney Govinden,M,NA,NA,NA,SEY,SEY,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700058,Aly Nabil,M,NA,NA,NA,EGY,EGY,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700059,Teariki Numa,M,NA,NA,NA,PNG,PNG,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Dinghy (Laser), Men",NA
1700060,Mathew Belcher,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700061,Will Ryan,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700062,Anton Dahlberg,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700063,Fredrik Bergström,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700064,Jordi Xammar,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700065,Nicolás Rodríguez,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700066,Paul Snow-Hansen,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700067,Dan Willcox,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700068,Luke Patience,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700069,Chris Grube,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700070,Giacomo Ferrari,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700071,Giulio Calabrò,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700072,Keiju Okada,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700073,Jumpei Hokazono,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700074,Panagiotis Mantis,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700075,Pavlos Kagialis,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700076,Stu McNay,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700077,Dave Hughes,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700078,Deniz Çınar,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700079,Ateş Çınar,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700080,Kévin Peponnet,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700081,Jérémie Mion,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700082,Pavel Sozykin,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700083,Denis Gribanov,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700084,Xu Zangjun,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700085,Wang Yang,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700086,Park Geon-U,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700087,Jo Seong-Min,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700088,Diogo Costa,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700089,Pedro Costa,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700090,Henrique Haddad,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700091,Bruno Bethlem,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700092,Jacob Saunders,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700093,Oliver Bone,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700094,Tyler Justus Paige,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700095,Adrian Hoesch,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700096,Matias Montinho,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700097,Paixão Afonso,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Two-Person Dinghy (470), Men",NA
1700098,Dylan Fletcher-Scott,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700099,Stuart Bithell,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700100,Peter Burling,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700101,Blair Tuke,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700102,Erik Heil,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700103,Thomas Plößel,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700104,Diego Botín,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700105,Iago López,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700106,Jonas Warrer,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700107,Jakob Precht Jensen,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700108,Bart Lambriex,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700109,Pim van Vugt,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700110,Jorge Lima,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700111,José Costa,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700112,Šime Fantela,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700113,Mihovil Fantela,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700114,Łukasz Przybytek,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700115,Paweł Kołodziński,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700116,Benjamin Bildstein,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700117,David Hussl,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700118,Leo Takahashi,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700119,Ibuki Koizumi,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700120,William Phillips,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700121,Sam Phillips,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700122,Robert Dickson,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
