ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1900000,Yuzuru Hanyu,M,NA,NA,NA,JPN,JPN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",Gold
1900001,Shoma Uno,M,NA,NA,NA,JPN,JPN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",Silver
1900002,Javier Fernández,M,NA,NA,NA,ESP,ESP,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",Bronze
1900003,Jin Boyang,M,NA,NA,NA,CHN,CHN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900004,Nathan Chen,M,NA,NA,NA,USA,USA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900005,Vincent Zhou,M,NA,NA,NA,USA,USA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900006,Dmitry Aliyev,M,NA,NA,NA,ROC,ROC,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900007,Mikhail Kolyada,M,NA,NA,NA,ROC,ROC,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900008,Patrick Chan,M,NA,NA,NA,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900009,Adam Rippon,M,NA,NA,NA,USA,USA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900010,Alexei Bychenko,M,NA,NA,NA,ISR,ISR,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900011,Keegan Messing,M,NA,NA,NA,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900012,Daniel Samohin,M,NA,NA,NA,ISR,ISR,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900013,Jorik Hendrickx,M,NA,NA,NA,BEL,BEL,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900014,Cha Jun-Hwan,M,NA,NA,NA,KOR,KOR,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900015,Michal Březina,M,NA,NA,NA,CZE,CZE,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900016,Misha Ge,M,NA,NA,NA,UZB,UZB,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900017,Keiji Tanaka,M,NA,NA,NA,JPN,JPN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900018,Deniss Vasiļjevs,M,NA,NA,NA,LAT,LAT,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900019,Brendan Kerry,M,NA,NA,NA,AUS,AUS,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900020,Matteo Rizzo,M,NA,NA,NA,ITA,ITA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900021,Paul Fentz,M,NA,NA,NA,GER,GER,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900022,Yan Han,M,NA,NA,NA,CHN,CHN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900023,Morisi Kvitelashvili,M,NA,NA,NA,GEO,GEO,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900024,Julian Yee,M,NA,NA,NA,MAS,MAS,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900025,Chafik Besseghier,M,NA,NA,NA,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900026,Denis Ten,M,NA,NA,NA,KAZ,KAZ,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900027,Michael Christian Martinez,M,NA,NA,NA,PHI,PHI,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900028,Felipe Montoya,M,NA,NA,NA,ESP,ESP,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900029,Yaroslav Paniot,M,NA,NA,NA,UKR,UKR,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Men",NA
1900030,Alina Zagitova,F,NA,NA,NA,ROC,ROC,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",Gold
1900031,Yevgeniya Medvedeva,F,NA,NA,NA,ROC,ROC,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",Silver
1900032,Kaetlyn Osmond,F,NA,NA,NA,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",Bronze
1900033,Satoko Miyahara,F,NA,NA,NA,JPN,JPN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900034,Carolina Kostner,F,NA,NA,NA,ITA,ITA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900035,Kaori Sakamoto,F,NA,NA,NA,JPN,JPN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900036,Choi Da-Bin,F,NA,NA,NA,KOR,KOR,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900037,Mariya Sotskova,F,NA,NA,NA,ROC,ROC,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900038,Bradie Tennell,F,NA,NA,NA,USA,USA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900039,Mirai Nagasu,F,NA,NA,NA,USA,USA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900040,Karen Chen,F,NA,NA,NA,USA,USA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900041,Elizabet Tursynbaeva,F,NA,NA,NA,KAZ,KAZ,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900042,Kim Ha-Neul,F,NA,NA,NA,KOR,KOR,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900043,Nicole Rajičová,F,NA,NA,NA,SVK,SVK,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
